Country,Production (Ton),Year
Bangladesh,14426200,1961
Brazil,5392480,1961
Cambodia,2383000,1961
China,56217601,1961
Democratic People's Republic of Korea,1809000,1961
Egypt,1142000,1961
India,53494500,1961
Indonesia,12084000,1961
Japan,16160400,1961
Madagascar,1465000,1961
Malaysia,1089080,1961
Myanmar,6834100,1961
Nepal,2108000,1961
Pakistan,1690000,1961
Philippines,3910100,1961
Republic of Korea,4679000,1961
Sri Lanka,923024,1961
Thailand,10150000,1961
United States of America,2458000,1961
Viet Nam,8997400,1961
Bangladesh,13304500,1962
Brazil,5556830,1962
Cambodia,2039000,1962
China,65675288,1962
Democratic People's Republic of Korea,1897100,1962
Egypt,2038000,1962
India,49825600,1962
Indonesia,13004000,1962
Japan,16927100,1962
Madagascar,1552000,1962
Malaysia,1125340,1962
Myanmar,7664700,1962
Nepal,2108320,1962
Pakistan,1643000,1962
Philippines,3966980,1962
Republic of Korea,4074000,1962
Sri Lanka,1029190,1962
Thailand,11250000,1962
United States of America,2996000,1962
Viet Nam,9747040,1962
Bangladesh,15934900,1963
Brazil,5740070,1963
Cambodia,2622000,1963
China,76439280,1963
Democratic People's Republic of Korea,2072500,1963
Egypt,2219000,1963
India,55497000,1963
Indonesia,11595000,1963
Japan,16648800,1963
Madagascar,1559000,1963
Malaysia,1190210,1963
Myanmar,7782900,1963
Nepal,2109000,1963
Pakistan,1788000,1963
Philippines,3842860,1963
Republic of Korea,5079000,1963
Sri Lanka,1045910,1963
Thailand,12171000,1963
United States of America,3187000,1963
Viet Nam,9622670,1963
Bangladesh,15753600,1964
Brazil,6344930,1964
Cambodia,2760000,1964
China,85853780,1964
Democratic People's Republic of Korea,2176100,1964
Egypt,2036000,1964
India,58962000,1964
Indonesia,12306000,1964
Japan,16356100,1964
Madagascar,1648080,1964
Malaysia,1109780,1964
Myanmar,8507700,1964
Nepal,2201000,1964
Pakistan,2025000,1964
Philippines,3992400,1964
Republic of Korea,5344000,1964
Sri Lanka,1074050,1964
Thailand,11600000,1964
United States of America,3319000,1964
Viet Nam,9697030,1964
Bangladesh,15750500,1965
Brazil,7579650,1965
Cambodia,2500000,1965
China,90705630,1965
Democratic People's Republic of Korea,1905000,1965
Egypt,1789000,1965
India,45883500,1965
Indonesia,12975000,1965
Japan,16126100,1965
Madagascar,1589350,1965
Malaysia,1255610,1965
Myanmar,8055100,1965
Nepal,2207000,1965
Pakistan,1975000,1965
Philippines,4072640,1965
Republic of Korea,4867000,1965
Sri Lanka,764158,1965
Thailand,11164000,1965
United States of America,3460000,1965
Viet Nam,9369700,1965
Bangladesh,14363000,1966
Brazil,5801810,1966
Cambodia,2376000,1966
China,98403990,1966
Democratic People's Republic of Korea,2128300,1966
Egypt,1678000,1966
India,45657000,1966
Indonesia,13650000,1966
Japan,16564000,1966
Madagascar,1602800,1966
Malaysia,1226680,1966
Myanmar,6636400,1966
Nepal,2007300,1966
Pakistan,2047000,1966
Philippines,4094020,1966
Republic of Korea,5448000,1966
Sri Lanka,980746,1966
Thailand,13500000,1966
United States of America,3856420,1966
Viet Nam,8463500,1966
Bangladesh,16757000,1967
Brazil,6791990,1967
Cambodia,2457000,1967
China,96734816,1967
Democratic People's Republic of Korea,1976800,1967
Egypt,2278000,1967
India,56418300,1967
Indonesia,13222000,1967
Japan,18782000,1967
Madagascar,1706400,1967
Malaysia,1205070,1967
Myanmar,7769400,1967
Nepal,2119430,1967
Pakistan,2248000,1967
Philippines,4560700,1967
Republic of Korea,5008000,1967
Sri Lanka,1158150,1967
Thailand,11198000,1967
United States of America,4054140,1967
Viet Nam,9188400,1967
Bangladesh,17015500,1968
Brazil,6652390,1968
Cambodia,3251000,1968
China,97716767,1968
Democratic People's Republic of Korea,1913000,1968
Egypt,2591000,1968
India,59641800,1968
Indonesia,17162800,1968
Japan,18779000,1968
Madagascar,1796500,1968
Malaysia,1433950,1968
Myanmar,8022900,1968
Nepal,2178260,1968
Pakistan,3048000,1968
Philippines,4444660,1968
Republic of Korea,4442000,1968
Sri Lanka,1359540,1968
Thailand,12410000,1968
United States of America,4723780,1968
Viet Nam,8366150,1968
Bangladesh,18007300,1969
Brazil,6394290,1969
Cambodia,2503000,1969
China,97998492,1969
Democratic People's Republic of Korea,2343400,1969
Egypt,2561000,1969
India,60644500,1969
Indonesia,18020200,1969
Japan,18200000,1969
Madagascar,1844000,1969
Malaysia,1590600,1969
Myanmar,7984700,1969
Nepal,2241230,1969
Pakistan,3601000,1969
Philippines,5464080,1969
Republic of Korea,5688000,1969
Sri Lanka,1375960,1969
Thailand,13410000,1969
United States of America,4168670,1969
Viet Nam,8815000,1969
Bangladesh,16714900,1970
Brazil,7553080,1970
Cambodia,3814000,1970
China,113101869,1970
Democratic People's Republic of Korea,2327500,1970
Egypt,2604000,1970
India,63337800,1970
Indonesia,19331000,1970
Japan,16493000,1970
Madagascar,1945900,1970
Malaysia,1681420,1970
Myanmar,8161900,1970
Nepal,2304200,1970
Pakistan,3298400,1970
Philippines,5578410,1970
Republic of Korea,5476000,1970
Sri Lanka,1615930,1970
Thailand,13850000,1970
United States of America,3801310,1970
Viet Nam,10173300,1970
Bangladesh,14896700,1971
Brazil,6593180,1971
Cambodia,2732000,1971
China,118129210,1971
Democratic People's Republic of Korea,2407200,1971
Egypt,2533690,1971
India,64602000,1971
Indonesia,20190000,1971
Japan,14148000,1971
Madagascar,1893000,1971
Malaysia,1816920,1971
Myanmar,8175000,1971
Nepal,2343830,1971
Pakistan,3392600,1971
Philippines,5324880,1971
Republic of Korea,5557000,1971
Sri Lanka,1395780,1971
Thailand,13744000,1971
United States of America,3890350,1971
Viet Nam,10447000,1971
Bangladesh,15133700,1972
Brazil,6760640,1972
Cambodia,1927000,1972
China,116428562,1972
Democratic People's Republic of Korea,2311500,1972
Egypt,2507000,1972
India,58868000,1972
Indonesia,19393600,1972
Japan,15450500,1972
Madagascar,1923600,1972
Malaysia,1837320,1972
Myanmar,7356800,1972
Nepal,2010450,1972
Pakistan,3495210,1972
Philippines,4609510,1972
Republic of Korea,5496000,1972
Sri Lanka,1312450,1972
Thailand,12413000,1972
United States of America,3875430,1972
Viet Nam,10748200,1972
Bangladesh,17862700,1973
Brazil,7160130,1973
Cambodia,1050000,1973
China,124584090,1973
Democratic People's Republic of Korea,2598500,1973
Egypt,2275000,1973
India,66077000,1973
Indonesia,21489500,1973
Japan,15778000,1973
Madagascar,1913300,1973
Malaysia,1979940,1973
Myanmar,8601900,1973
Nepal,2416050,1973
Pakistan,3681980,1973
Philippines,5158900,1973
Republic of Korea,5850000,1973
Sri Lanka,1312420,1973
Thailand,14899000,1973
United States of America,4207730,1973
Viet Nam,11125000,1973
Bangladesh,16929600,1974
Brazil,6764040,1974
Cambodia,635000,1974
China,127010740,1974
Democratic People's Republic of Korea,2710000,1974
Egypt,2241690,1974
India,59650000,1974
Indonesia,22473000,1974
Japan,15964000,1974
Madagascar,2013450,1974
Malaysia,2095000,1974
Myanmar,8583400,1974
Nepal,2452270,1974
Pakistan,3470150,1974
Philippines,5615270,1974
Republic of Korea,6174000,1974
Sri Lanka,1602310,1974
Thailand,13386000,1974
United States of America,5097720,1974
Viet Nam,11023300,1974
Bangladesh,19142600,1975
Brazil,7781540,1975
Cambodia,1080000,1975
China,128726270,1975
Democratic People's Republic of Korea,2813700,1975
Egypt,2423450,1975
India,73352000,1975
Indonesia,22339200,1975
Japan,17097000,1975
Madagascar,1972100,1975
Malaysia,1997000,1975
Myanmar,9207700,1975
Nepal,2604750,1975
Pakistan,3926180,1975
Philippines,6112040,1975
Republic of Korea,6485000,1975
Sri Lanka,1154160,1975
Thailand,15300000,1975
United States of America,5825770,1975
Viet Nam,10293600,1975
Bangladesh,17628300,1976
Brazil,9757080,1976
Cambodia,1100000,1976
China,129231900,1976
Democratic People's Republic of Korea,2853600,1976
Egypt,2300030,1976
India,63051900,1976
Indonesia,23300900,1976
Japan,15288000,1976
Madagascar,2042500,1976
Malaysia,1995000,1976
Myanmar,9319300,1976
Nepal,2386270,1976
Pakistan,4106180,1976
Philippines,6542610,1976
Republic of Korea,7249000,1976
Sri Lanka,1252620,1976
Thailand,15068000,1976
United States of America,5245680,1976
Viet Nam,11827200,1976
Bangladesh,19451500,1977
Brazil,8993700,1977
Cambodia,1000000,1977
China,131917520,1977
Democratic People's Republic of Korea,3060900,1977
Egypt,2272310,1977
India,79005600,1977
Indonesia,23347100,1977
Japan,17006000,1977
Madagascar,2067270,1977
Malaysia,1898000,1977
Myanmar,9462000,1977
Nepal,2282430,1977
Pakistan,4424410,1977
Philippines,7254390,1977
Republic of Korea,8348000,1977
Sri Lanka,1677290,1977
Thailand,13921000,1977
United States of America,4500680,1977
Viet Nam,10597100,1977
Bangladesh,19582200,1978
Brazil,7296140,1978
Cambodia,1000000,1978
China,140023850,1978
Democratic People's Republic of Korea,2957200,1978
Egypt,2351000,1978
India,80608500,1978
Indonesia,25771600,1978
Japan,15736000,1978
Madagascar,1922000,1978
Malaysia,1498000,1978
Myanmar,10528300,1978
Nepal,2339280,1978
Pakistan,4908000,1978
Philippines,7211620,1978
Republic of Korea,8532000,1978
Sri Lanka,1890490,1978
Thailand,17470000,1978
United States of America,6040490,1978
Viet Nam,9789900,1978
Bangladesh,19109500,1979
Brazil,7595210,1979
Cambodia,538000,1979
China,146846140,1979
Democratic People's Republic of Korea,3060100,1979
Egypt,2511000,1979
India,63475700,1979
Indonesia,26282700,1979
Japan,14948000,1979
Madagascar,2044940,1979
Malaysia,2095000,1979
Myanmar,10447900,1979
Nepal,2059930,1979
Pakistan,4823700,1979
Philippines,7684800,1979
Republic of Korea,7880940,1979
Sri Lanka,1917220,1979
Thailand,15758000,1979
United States of America,5985020,1979
Viet Nam,11362900,1979
Bangladesh,20821000,1980
Brazil,9775720,1980
Cambodia,1717000,1980
China,142876520,1980
Democratic People's Republic of Korea,2646400,1980
Egypt,2382100,1980
India,80312000,1980
Indonesia,29651900,1980
Japan,12189000,1980
Madagascar,2108910,1980
Malaysia,2044600,1980
Myanmar,13317400,1980
Nepal,2464310,1980
Pakistan,4684800,1980
Philippines,7646490,1980
Republic of Korea,5311410,1980
Sri Lanka,2133200,1980
Thailand,17368100,1980
United States of America,6629250,1980
Viet Nam,11647400,1980
Bangladesh,20445900,1981
Brazil,8228330,1981
Cambodia,1490000,1981
China,146959840,1981
Democratic People's Republic of Korea,3044900,1981
Egypt,2236360,1981
India,79883000,1981
Indonesia,32774200,1981
Japan,12824000,1981
Madagascar,2011480,1981
Malaysia,2019900,1981
Myanmar,14146600,1981
Nepal,2560080,1981
Pakistan,5144550,1981
Philippines,7910740,1981
Republic of Korea,7148700,1981
Sri Lanka,2229350,1981
Thailand,17774300,1981
United States of America,8289040,1981
Viet Nam,12415200,1981
Bangladesh,21324600,1982
Brazil,9734550,1982
Cambodia,1949000,1982
China,164741380,1982
Democratic People's Republic of Korea,2010000,1982
Egypt,2440510,1982
India,70771700,1982
Indonesia,33583700,1982
Japan,12838000,1982
Madagascar,1969910,1982
Malaysia,1883600,1982
Myanmar,14373400,1982
Nepal,1832620,1982
Pakistan,5167050,1982
Philippines,8533730,1982
Republic of Korea,7307860,1982
Sri Lanka,2155630,1982
Thailand,16878500,1982
United States of America,6968900,1982
Viet Nam,14390200,1982
Bangladesh,21761000,1983
Brazil,7741750,1983
Cambodia,2039000,1983
China,172008862,1983
Democratic People's Republic of Korea,2064000,1983
Egypt,2442000,1983
India,90048000,1983
Indonesia,35303000,1983
Japan,12958000,1983
Madagascar,2147000,1983
Malaysia,1734330,1983
Myanmar,14288100,1983
Nepal,2756980,1983
Pakistan,5009250,1983
Philippines,7294910,1983
Republic of Korea,7607540,1983
Sri Lanka,2483530,1983
Thailand,19548900,1983
United States of America,4523200,1983
Viet Nam,14743300,1983
Bangladesh,21933500,1984
Brazil,9027370,1984
Cambodia,1260000,1984
China,181095744,1984
Democratic People's Republic of Korea,2193000,1984
Egypt,2236440,1984
India,87552800,1984
Indonesia,38136400,1984
Japan,14848000,1984
Madagascar,2131100,1984
Malaysia,1571670,1984
Myanmar,14255500,1984
Nepal,2709430,1984
Pakistan,4972800,1984
Philippines,7828880,1984
Republic of Korea,7970330,1984
Sri Lanka,2419700,1984
Thailand,19904800,1984
United States of America,6296300,1984
Viet Nam,15505600,1984
Bangladesh,22556300,1985
Brazil,9024560,1985
Cambodia,1812000,1985
China,171318865,1985
Democratic People's Republic of Korea,2113000,1985
Egypt,2311300,1985
India,95817700,1985
Indonesia,39032900,1985
Japan,14578000,1985
Madagascar,2177680,1985
Malaysia,1745370,1985
Myanmar,14317000,1985
Nepal,2804490,1985
Pakistan,4378400,1985
Philippines,8805600,1985
Republic of Korea,7855260,1985
Sri Lanka,2661210,1985
Thailand,20263900,1985
United States of America,6122000,1985
Viet Nam,15874800,1985
Bangladesh,23110000,1986
Brazil,10404700,1986
Cambodia,2093000,1986
China,174720521,1986
Democratic People's Republic of Korea,2387000,1986
Egypt,2445000,1986
India,90779400,1986
Indonesia,39726800,1986
Japan,14559000,1986
Madagascar,2230210,1986
Malaysia,1718220,1986
Myanmar,14127100,1986
Nepal,2372020,1986
Pakistan,5230000,1986
Philippines,9246790,1986
Republic of Korea,7871370,1986
Sri Lanka,2588180,1986
Thailand,18868200,1986
United States of America,6049000,1986
Viet Nam,16002900,1986
Bangladesh,23120600,1987
Brazil,10425100,1987
Cambodia,1815000,1987
China,176662485,1987
Democratic People's Republic of Korea,2219000,1987
Egypt,2406000,1987
India,85338700,1987
Indonesia,40078200,1987
Japan,13284000,1987
Madagascar,2178000,1987
Malaysia,1626700,1987
Myanmar,13638400,1987
Nepal,2981780,1987
Pakistan,4861400,1987
Philippines,8539850,1987
Republic of Korea,7595760,1987
Sri Lanka,2127830,1987
Thailand,18428300,1987
United States of America,5879000,1987
Viet Nam,15102600,1987
Bangladesh,23316500,1988
Brazil,11806500,1988
Cambodia,2500000,1988
China,171441923,1988
Democratic People's Republic of Korea,2129000,1988
Egypt,2132000,1988
India,106369000,1988
Indonesia,41676200,1988
Japan,12419000,1988
Madagascar,2149000,1988
Malaysia,1696240,1988
Myanmar,13167100,1988
Nepal,3283210,1988
